Time;Usage default  backend-v1;Usage default  backend-v2
2020-05-25T11:23:45.000Z;null;null
2020-05-25T11:24:00.000Z;560;35
2020-05-25T11:24:15.000Z;null;null
2020-05-25T11:24:30.000Z;null;null
2020-05-25T11:24:45.000Z;null;null
2020-05-25T11:25:00.000Z;267;60
2020-05-25T11:25:15.000Z;null;null
2020-05-25T11:25:30.000Z;null;null
2020-05-25T11:25:45.000Z;null;null
2020-05-25T11:26:00.000Z;540;63
2020-05-25T11:26:15.000Z;null;null
2020-05-25T11:26:30.000Z;null;null
2020-05-25T11:26:45.000Z;null;null
2020-05-25T11:27:00.000Z;260;99
2020-05-25T11:27:15.000Z;null;null
2020-05-25T11:27:30.000Z;null;null
2020-05-25T11:27:45.000Z;null;null
2020-05-25T11:28:00.000Z;null;109
2020-05-25T11:28:15.000Z;null;null
2020-05-25T11:28:30.000Z;null;null
2020-05-25T11:28:45.000Z;null;null
2020-05-25T11:29:00.000Z;437;null
2020-05-25T11:29:15.000Z;null;null
2020-05-25T11:29:30.000Z;null;null
2020-05-25T11:29:45.000Z;null;null
2020-05-25T11:30:00.000Z;null;149
2020-05-25T11:30:15.000Z;null;null
2020-05-25T11:30:30.000Z;null;null
2020-05-25T11:30:45.000Z;null;null
2020-05-25T11:31:00.000Z;471;110
2020-05-25T11:31:15.000Z;null;null
2020-05-25T11:31:30.000Z;null;null
2020-05-25T11:31:45.000Z;null;null
2020-05-25T11:32:00.000Z;234;275
2020-05-25T11:32:15.000Z;null;null
2020-05-25T11:32:30.000Z;null;null
2020-05-25T11:32:45.000Z;null;null
2020-05-25T11:33:00.000Z;391;186
2020-05-25T11:33:15.000Z;null;null
2020-05-25T11:33:30.000Z;null;null
2020-05-25T11:33:45.000Z;null;null
2020-05-25T11:34:00.000Z;253;385
2020-05-25T11:34:15.000Z;null;null
2020-05-25T11:34:30.000Z;null;null
2020-05-25T11:34:45.000Z;null;null
2020-05-25T11:35:00.000Z;null;331
2020-05-25T11:35:15.000Z;null;null
2020-05-25T11:35:30.000Z;null;null
2020-05-25T11:35:45.000Z;null;null
2020-05-25T11:36:00.000Z;273;null
2020-05-25T11:36:15.000Z;null;null
2020-05-25T11:36:30.000Z;null;null
2020-05-25T11:36:45.000Z;null;null
2020-05-25T11:37:00.000Z;null;466
2020-05-25T11:37:15.000Z;null;null
2020-05-25T11:37:30.000Z;null;null
2020-05-25T11:37:45.000Z;null;null
2020-05-25T11:38:00.000Z;203;144
2020-05-25T11:38:15.000Z;null;null
2020-05-25T11:38:30.000Z;null;null
2020-05-25T11:38:45.000Z;null;null
2020-05-25T11:39:00.000Z;102;419
2020-05-25T11:39:15.000Z;null;null
2020-05-25T11:39:30.000Z;null;null
2020-05-25T11:39:45.000Z;null;null
2020-05-25T11:40:00.000Z;176;283
2020-05-25T11:40:15.000Z;null;null
2020-05-25T11:40:30.000Z;null;null
2020-05-25T11:40:45.000Z;null;null
2020-05-25T11:41:00.000Z;93;471
2020-05-25T11:41:15.000Z;null;null
2020-05-25T11:41:30.000Z;null;null
2020-05-25T11:41:45.000Z;null;null
2020-05-25T11:42:00.000Z;92;422
2020-05-25T11:42:15.000Z;null;null
2020-05-25T11:42:30.000Z;null;null
2020-05-25T11:42:45.000Z;null;null
2020-05-25T11:43:00.000Z;69;null
2020-05-25T11:43:15.000Z;null;null
2020-05-25T11:43:30.000Z;null;null
2020-05-25T11:43:45.000Z;null;null
2020-05-25T11:44:00.000Z;83;527
2020-05-25T11:44:15.000Z;null;null
2020-05-25T11:44:30.000Z;null;null
2020-05-25T11:44:45.000Z;null;null
2020-05-25T11:45:00.000Z;15;null
2020-05-25T11:45:15.000Z;null;null
2020-05-25T11:45:30.000Z;null;null
2020-05-25T11:45:45.000Z;null;null
2020-05-25T11:46:00.000Z;null;535
2020-05-25T11:46:15.000Z;null;null
2020-05-25T11:46:30.000Z;null;null
2020-05-25T11:46:45.000Z;null;null
2020-05-25T11:47:00.000Z;1;600
2020-05-25T11:47:15.000Z;null;null
2020-05-25T11:47:30.000Z;null;null
2020-05-25T11:47:45.000Z;null;null
2020-05-25T11:48:00.000Z;1;592
2020-05-25T11:48:15.000Z;null;null
2020-05-25T11:48:30.000Z;null;null
2020-05-25T11:48:45.000Z;null;null
2020-05-25T11:49:00.000Z;2;576
2020-05-25T11:49:15.000Z;null;null
2020-05-25T11:49:30.000Z;null;null
2020-05-25T11:49:45.000Z;null;null
2020-05-25T11:50:00.000Z;1;209
2020-05-25T11:50:15.000Z;null;null
2020-05-25T11:50:30.000Z;null;null
2020-05-25T11:50:45.000Z;null;null
2020-05-25T11:51:00.000Z;null;null
2020-05-25T11:51:15.000Z;null;null
2020-05-25T11:51:30.000Z;null;null
2020-05-25T11:51:45.000Z;null;null
2020-05-25T11:52:00.000Z;38;32
2020-05-25T11:52:15.000Z;null;null
2020-05-25T11:52:30.000Z;null;null
2020-05-25T11:52:45.000Z;null;null
2020-05-25T11:53:00.000Z;2;2
2020-05-25T11:53:15.000Z;null;null
2020-05-25T11:53:30.000Z;null;null
2020-05-25T11:53:45.000Z;null;null
2020-05-25T11:54:00.000Z;2;2
2020-05-25T11:54:15.000Z;null;null
2020-05-25T11:54:30.000Z;null;null
2020-05-25T11:54:45.000Z;null;null
2020-05-25T11:55:00.000Z;2;2
2020-05-25T11:55:15.000Z;null;null
2020-05-25T11:55:30.000Z;null;null
2020-05-25T11:55:45.000Z;null;null
2020-05-25T11:56:00.000Z;1;1
2020-05-25T11:56:15.000Z;null;null
2020-05-25T11:56:30.000Z;null;null
2020-05-25T11:56:45.000Z;null;null
2020-05-25T11:57:00.000Z;2;2
2020-05-25T11:57:15.000Z;null;null
2020-05-25T11:57:30.000Z;null;null
2020-05-25T11:57:45.000Z;null;null
2020-05-25T11:58:00.000Z;67;2
2020-05-25T11:58:15.000Z;null;null
2020-05-25T11:58:30.000Z;null;null
2020-05-25T11:58:45.000Z;null;null
2020-05-25T11:59:00.000Z;569;2
2020-05-25T11:59:15.000Z;null;null
2020-05-25T11:59:30.000Z;null;null
2020-05-25T11:59:45.000Z;null;null
2020-05-25T12:00:00.000Z;632;2
2020-05-25T12:00:15.000Z;null;null
2020-05-25T12:00:30.000Z;null;null
2020-05-25T12:00:45.000Z;null;null
2020-05-25T12:01:00.000Z;544;33
2020-05-25T12:01:15.000Z;null;null
2020-05-25T12:01:30.000Z;null;null
2020-05-25T12:01:45.000Z;null;null
2020-05-25T12:02:00.000Z;598;36
2020-05-25T12:02:15.000Z;null;null
2020-05-25T12:02:30.000Z;null;null
2020-05-25T12:02:45.000Z;null;null
2020-05-25T12:03:00.000Z;352;62
2020-05-25T12:03:15.000Z;null;null
2020-05-25T12:03:30.000Z;null;null
2020-05-25T12:03:45.000Z;null;null
2020-05-25T12:04:00.000Z;553;63
2020-05-25T12:04:15.000Z;null;null
2020-05-25T12:04:30.000Z;null;null
2020-05-25T12:04:45.000Z;null;null
2020-05-25T12:05:00.000Z;448;null
2020-05-25T12:05:15.000Z;null;null
2020-05-25T12:05:30.000Z;null;null
2020-05-25T12:05:45.000Z;null;null
2020-05-25T12:06:00.000Z;null;126
2020-05-25T12:06:15.000Z;null;null
2020-05-25T12:06:30.000Z;null;null
2020-05-25T12:06:45.000Z;null;null
2020-05-25T12:07:00.000Z;469;null
2020-05-25T12:07:15.000Z;null;null
2020-05-25T12:07:30.000Z;null;null
2020-05-25T12:07:45.000Z;null;null
2020-05-25T12:08:00.000Z;null;176
2020-05-25T12:08:15.000Z;null;null
2020-05-25T12:08:30.000Z;null;null
2020-05-25T12:08:45.000Z;null;null
2020-05-25T12:09:00.000Z;501;null
2020-05-25T12:09:15.000Z;null;null
2020-05-25T12:09:30.000Z;null;null
2020-05-25T12:09:45.000Z;null;null
2020-05-25T12:10:00.000Z;null;282
2020-05-25T12:10:15.000Z;null;null
2020-05-25T12:10:30.000Z;null;null
2020-05-25T12:10:45.000Z;null;null
2020-05-25T12:11:00.000Z;400;168
2020-05-25T12:11:15.000Z;null;null
2020-05-25T12:11:30.000Z;null;null
2020-05-25T12:11:45.000Z;null;null
2020-05-25T12:12:00.000Z;259;379
2020-05-25T12:12:15.000Z;null;null
2020-05-25T12:12:30.000Z;null;null
2020-05-25T12:12:45.000Z;null;null
2020-05-25T12:13:00.000Z;null;343
2020-05-25T12:13:15.000Z;null;null
2020-05-25T12:13:30.000Z;null;null
2020-05-25T12:13:45.000Z;null;null
2020-05-25T12:14:00.000Z;270;null
2020-05-25T12:14:15.000Z;null;null
2020-05-25T12:14:30.000Z;null;null
2020-05-25T12:14:45.000Z;null;null
2020-05-25T12:15:00.000Z;null;490
2020-05-25T12:15:15.000Z;null;null
2020-05-25T12:15:30.000Z;null;null
2020-05-25T12:15:45.000Z;null;null
2020-05-25T12:16:00.000Z;198;188
2020-05-25T12:16:15.000Z;null;null
2020-05-25T12:16:30.000Z;null;null
2020-05-25T12:16:45.000Z;null;null
2020-05-25T12:17:00.000Z;99;502
2020-05-25T12:17:15.000Z;null;null
2020-05-25T12:17:30.000Z;null;null
2020-05-25T12:17:45.000Z;null;null
2020-05-25T12:18:00.000Z;168;351
2020-05-25T12:18:15.000Z;null;null
2020-05-25T12:18:30.000Z;null;null
2020-05-25T12:18:45.000Z;null;null
2020-05-25T12:19:00.000Z;80;615
2020-05-25T12:19:15.000Z;null;null
2020-05-25T12:19:30.000Z;null;null
2020-05-25T12:19:45.000Z;null;null
2020-05-25T12:20:00.000Z;null;444
2020-05-25T12:20:15.000Z;null;null
2020-05-25T12:20:30.000Z;null;null
2020-05-25T12:20:45.000Z;null;null
2020-05-25T12:21:00.000Z;68;null
2020-05-25T12:21:15.000Z;null;null
2020-05-25T12:21:30.000Z;null;null
2020-05-25T12:21:45.000Z;null;null
2020-05-25T12:22:00.000Z;81;630
2020-05-25T12:22:15.000Z;null;null
2020-05-25T12:22:30.000Z;null;null
2020-05-25T12:22:45.000Z;null;null
2020-05-25T12:23:00.000Z;12;null
2020-05-25T12:23:15.000Z;null;null
2020-05-25T12:23:30.000Z;null;null
2020-05-25T12:23:45.000Z;null;null
2020-05-25T12:24:00.000Z;null;603
2020-05-25T12:24:15.000Z;null;null
2020-05-25T12:24:30.000Z;null;null
2020-05-25T12:24:45.000Z;null;null
2020-05-25T12:25:00.000Z;2;605
2020-05-25T12:25:15.000Z;null;null
2020-05-25T12:25:30.000Z;null;null
2020-05-25T12:25:45.000Z;null;null
2020-05-25T12:26:00.000Z;2;571
2020-05-25T12:26:15.000Z;null;null
2020-05-25T12:26:30.000Z;null;null
2020-05-25T12:26:45.000Z;null;null
2020-05-25T12:27:00.000Z;2;582
2020-05-25T12:27:15.000Z;null;null
2020-05-25T12:27:30.000Z;null;null
2020-05-25T12:27:45.000Z;null;null
2020-05-25T12:28:00.000Z;1;78
2020-05-25T12:28:15.000Z;null;null
2020-05-25T12:28:30.000Z;null;null
2020-05-25T12:28:45.000Z;null;null
2020-05-25T12:29:00.000Z;null;null
2020-05-25T12:29:15.000Z;null;null
2020-05-25T12:29:30.000Z;null;null
2020-05-25T12:29:45.000Z;null;null
2020-05-25T12:30:00.000Z;35;30
2020-05-25T12:30:15.000Z;null;null
2020-05-25T12:30:30.000Z;null;null
2020-05-25T12:30:45.000Z;null;null
2020-05-25T12:31:00.000Z;1;2
2020-05-25T12:31:15.000Z;null;null
2020-05-25T12:31:30.000Z;null;null
2020-05-25T12:31:45.000Z;null;null
2020-05-25T12:32:00.000Z;2;2
2020-05-25T12:32:15.000Z;null;null
2020-05-25T12:32:30.000Z;null;null
2020-05-25T12:32:45.000Z;null;null
2020-05-25T12:33:00.000Z;2;2
2020-05-25T12:33:15.000Z;null;null
2020-05-25T12:33:30.000Z;null;null
