Time;Usage default  upgradeplanner
2020-05-25T14:38:00.000Z;53
2020-05-25T14:39:00.000Z;38
2020-05-25T14:40:00.000Z;49
2020-05-25T14:41:00.000Z;66
2020-05-25T14:42:00.000Z;43
2020-05-25T14:43:00.000Z;37
2020-05-25T14:44:00.000Z;42
2020-05-25T14:45:00.000Z;34
2020-05-25T14:46:00.000Z;48
2020-05-25T14:47:00.000Z;39
2020-05-25T14:48:00.000Z;66
2020-05-25T14:49:00.000Z;30
2020-05-25T14:50:00.000Z;39
2020-05-25T14:51:00.000Z;39
2020-05-25T14:52:00.000Z;30
2020-05-25T14:53:00.000Z;32
2020-05-25T14:54:00.000Z;32
2020-05-25T14:55:00.000Z;40
2020-05-25T14:56:00.000Z;38
2020-05-25T14:57:00.000Z;9
2020-05-25T14:58:00.000Z;3
2020-05-25T14:59:00.000Z;3
2020-05-25T15:00:00.000Z;null
2020-05-25T15:01:00.000Z;null
2020-05-25T15:02:00.000Z;2
2020-05-25T15:03:00.000Z;2
2020-05-25T15:04:00.000Z;2
2020-05-25T15:05:00.000Z;2
2020-05-25T15:06:00.000Z;2
2020-05-25T15:07:00.000Z;1
2020-05-25T15:08:00.000Z;146
2020-05-25T15:09:00.000Z;4
2020-05-25T15:10:00.000Z;4
2020-05-25T15:11:00.000Z;128
2020-05-25T15:12:00.000Z;50
2020-05-25T15:13:00.000Z;91
2020-05-25T15:14:00.000Z;41
2020-05-25T15:15:00.000Z;60
2020-05-25T15:16:00.000Z;38
2020-05-25T15:17:00.000Z;53
2020-05-25T15:18:00.000Z;35
2020-05-25T15:19:00.000Z;65
2020-05-25T15:20:00.000Z;40
2020-05-25T15:21:00.000Z;51
2020-05-25T15:22:00.000Z;48
2020-05-25T15:23:00.000Z;30
2020-05-25T15:24:00.000Z;49
2020-05-25T15:25:00.000Z;38
2020-05-25T15:26:00.000Z;59
2020-05-25T15:27:00.000Z;33
2020-05-25T15:28:00.000Z;45
2020-05-25T15:29:00.000Z;39
2020-05-25T15:30:00.000Z;31
2020-05-25T15:31:00.000Z;32
2020-05-25T15:32:00.000Z;32
2020-05-25T15:33:00.000Z;39
2020-05-25T15:34:00.000Z;35
2020-05-25T15:35:00.000Z;19
2020-05-25T15:36:00.000Z;3
2020-05-25T15:37:00.000Z;3
2020-05-25T15:39:00.000Z;null
2020-05-25T15:40:00.000Z;2
2020-05-25T15:41:00.000Z;4
2020-05-25T15:42:00.000Z;2
2020-05-25T15:43:00.000Z;2
2020-05-25T15:44:00.000Z;2
2020-05-25T15:45:00.000Z;2
2020-05-25T15:46:00.000Z;143
2020-05-25T15:47:00.000Z;23
2020-05-25T15:48:00.000Z;4
2020-05-25T15:49:00.000Z;133
2020-05-25T15:50:00.000Z;51
2020-05-25T15:51:00.000Z;86
2020-05-25T15:52:00.000Z;45
2020-05-25T15:53:00.000Z;66
2020-05-25T15:54:00.000Z;44
2020-05-25T15:55:00.000Z;53
2020-05-25T15:56:00.000Z;37
