load	capacity	throughput	slow	duration	accuracy	
200.0	196.83333333333334	11810.0	0.0	60.0	0.19887800000287825	
350.0	340.7	20442.0	0.0	60.0	0.20803500000329223	
200.0	197.75	11865.0	0.0	60.0	0.20728699999745004	
200.0	197.43333333333334	11846.0	0.0	60.0	0.18271300000196788	
200.0	198.13333333333333	11888.0	0.0	60.0	0.1772720000008121	
200.0	197.23333333333332	11834.0	0.0	60.0	0.20743400000355905	
200.0	197.35	11841.0	0.0	60.0	0.22360800000024028	
350.0	341.65	20499.0	0.0	60.0	0.23281600000336766	
200.0	197.7	11862.0	0.0	60.0	0.20176399999763817	
200.0	197.7	11862.0	0.0	60.0	0.21116600000095787	
200.0	197.78333333333333	11867.0	0.0	60.0	0.18192599999747472	
200.0	198.06666666666666	11884.0	0.0	60.0	0.21986099999776343	
